last_name, first_name,player_id,year,b_home_run,b_k_percent,batting_avg,slg_percent,on_base_percent,
McNeil, Jeff,643446,2020,4,11.5,.311,.454,.383,
Robles, Victor,645302,2020,3,28.0,.220,.315,.291,
Devers, Rafael,646240,2020,11,27.0,.263,.483,.310,
Jimenez, Eloy,650391,2020,14,24.8,.296,.559,.332,
Schwarber, Kyle,656941,2020,11,29.5,.188,.393,.308,
Verdugo, Alex,657077,2020,6,20.4,.308,.478,.367,
White, Evan,657108,2020,8,41.6,.176,.346,.252,
Laureano, Ramon,657656,2020,6,26.1,.213,.366,.338,
Moncada, Yoan,660162,2020,6,31.2,.225,.385,.320,
Acuna Jr., Ronald,660670,2020,14,29.7,.250,.581,.406,
Riley, Austin,663586,2020,8,23.8,.239,.415,.301,
Tucker, Kyle,663656,2020,9,20.2,.268,.512,.325,
Grisham, Trent,663757,2020,10,25.4,.251,.456,.349,
Happ, Ian,664023,2020,12,27.3,.258,.505,.359,
Lowe, Brandon,664040,2020,14,25.9,.269,.554,.362,
Fletcher, David,664058,2020,3,10.9,.319,.425,.374,
Tatis Jr., Fernando,665487,2020,17,23.7,.277,.571,.366,
Guerrero Jr., Vladimir,665489,2020,9,15.6,.262,.462,.329,
Soto, Juan,665742,2020,13,14.3,.351,.695,.490,
Gurriel Jr., Lourdes,666971,2020,11,21.4,.308,.534,.348,
Reynolds, Bryan,668804,2020,7,27.4,.189,.357,.274,
Edman, Tommy,669242,2020,5,21.1,.250,.368,.317,
Solak, Nick,669256,2020,2,18.0,.268,.344,.326,
Hiura, Keston,669374,2020,13,34.6,.212,.410,.297,
Lopez, Nicky,670032,2020,1,21.4,.201,.266,.281,
Robert, Luis,673357,2020,11,32.2,.233,.436,.300,
Cabrera, Miguel,408234,2021,15,22.4,.256,.386,.316,
Cruz Jr., Nelson,443558,2021,32,21.6,.265,.497,.332,
Peralta, David,444482,2021,8,17.1,.259,.402,.325,
Blackmon, Charlie,453568,2021,13,15.6,.270,.411,.351,
McCutchen, Andrew,457705,2021,27,23.0,.222,.444,.334,
Turner, Justin,457759,2021,27,16.0,.278,.471,.361,
Votto, Joey,458015,2021,36,23.8,.266,.563,.375,
Andrus, Elvis,462101,2021,3,15.0,.243,.320,.292,
Santana, Carlos,467793,2021,19,15.5,.214,.342,.319,
Lowrie, Jed,476704,2021,14,21.1,.245,.398,.318,
Brantley Jr., Michael,488726,2021,8,10.4,.311,.437,.362,
Gurriel, Yuli,493329,2021,15,11.2,.319,.462,.383,
Rojas, Miguel,500743,2021,9,13.7,.265,.392,.321,
Escobar, Eduardo,500871,2021,28,20.7,.253,.472,.314,
Pham, Tommy,502054,2021,15,22.8,.229,.383,.340,
Martinez, J.D.,502110,2021,28,23.7,.286,.518,.349,
Goldschmidt, Paul,502671,2021,31,20.0,.294,.514,.365,
Altuve, Jose,514888,2021,31,13.4,.278,.489,.350,
Hernandez, Cesar,514917,2021,21,21.2,.232,.386,.308,
Segura, Jean,516416,2021,14,13.8,.290,.436,.347,
Marte, Starling,516782,2021,12,18.8,.310,.458,.382,
Donaldson, Josh,518626,2021,26,21.0,.247,.475,.352,
Freeman, Freddie,518692,2021,31,15.4,.300,.503,.393,
LeMahieu, DJ,518934,2021,10,13.8,.268,.362,.349,
Rizzo, Anthony,519203,2021,22,15.1,.248,.440,.344,
Stanton, Giancarlo,519317,2021,35,27.1,.273,.516,.354,
Perez, Salvador,521692,2021,48,25.6,.273,.544,.316,
Garcia, Avisail,541645,2021,29,23.5,.262,.490,.330,
Villar, Jonathan,542340,2021,18,26.1,.249,.416,.321,
Aguilar, Jesus,542583,2021,22,18.2,.261,.459,.325,
Crawford, Brandon,543063,2021,24,19.1,.298,.522,.373,
Cron, C.J.,543068,2021,28,21.4,.281,.530,.375,
Grossman, Robbie,543257,2021,23,23.1,.239,.415,.356,
Harrison, Josh,543281,2021,8,13.4,.279,.400,.341,
Hosmer, Eric,543333,2021,12,17.5,.269,.395,.336,
Semien, Marcus,543760,2021,45,20.2,.265,.538,.334,
Grichuk, Randal,545341,2021,22,20.9,.241,.423,.281,
Harper, Bryce,547180,2021,35,22.4,.309,.615,.427,
Abreu, Jose,547989,2021,30,21.7,.261,.481,.351,
Suarez, Eugenio,553993,2021,31,29.8,.198,.428,.286,
Schoop, Jonathan,570731,2021,22,19.7,.278,.435,.320,
Arenado, Nolan,571448,2021,34,14.7,.255,.494,.312,
Farmer, Kyle,571657,2021,16,18.3,.263,.416,.316,
Haniger, Mitch,571745,2021,39,24.5,.253,.485,.318,
Hernandez, Enrique,571771,2021,20,18.8,.250,.449,.337,
